PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 155886_5,HD 155886,0.201,0.128,1.339,2.779,5.952,0.85,0.327,0.027,197.876,0.176,0.542,0,0,1,2035.001
HD 155886_6,HD 155886,0.316,0.044,0.948,1.735,5.952,0.85,0.327,0.052,173.358,0.314,0.4,0,0,1,2035.001
HD 155886_7,HD 155886,0.59,0.079,3.352,16.163,5.952,0.85,0.327,0.107,20.428,0.636,0.283,1,1,1,2035.001
HD 155886_8,HD 155886,3.879,0.087,2.635,16.445,5.952,0.85,0.327,0.672,153.756,4.159,0.192,0,0,1,2035.001
HD 102365_0,HD 102365,1.154,0.024,2.235,11.472,9.319,1.02,0.844,0.12,108.4,1.128,0.245,1,1,1,2035.001
HD 102365_1,HD 102365,4.021,0.031,1.113,0.834,9.319,1.02,0.844,0.337,278.342,4.145,0.062,0,0,1,2035.001
HD 102365_2,HD 102365,0.113,0.031,0.976,0.303,9.319,1.02,0.844,0.012,59.752,0.114,0.391,0,0,1,2035.001
HD 155885_0,HD 155885,0.424,0.016,1.08,0.365,5.948,0.85,0.332,0.028,253.984,0.423,0.007,0,0,1,2035.001
HD 155885_1,HD 155885,0.125,0.137,2.355,7.262,5.948,0.85,0.332,0.019,104.917,0.114,0.446,0,0,1,2035.001
HD 155885_4,HD 155885,2.293,0.052,0.991,0.685,5.948,0.85,0.332,0.248,50.618,2.363,0.813,1,1,1,2035.001
HD 50692_0,HD 50692,3.95,0.04,2.831,10.297,17.405,1.08,1.293,0.167,240.537,3.993,0.74,1,1,1,2035.001
HD 50692_1,HD 50692,0.28,0.064,0.734,0.092,17.405,1.08,1.293,0.017,25.632,0.297,0.393,0,0,1,2035.001
HD 50692_2,HD 50692,0.513,0.081,1.798,3.652,17.405,1.08,1.293,0.017,57.776,0.505,0.841,0,0,1,2035.001
HD 50692_3,HD 50692,0.925,0.032,2.849,9.197,17.405,1.08,1.293,0.049,69.006,0.897,0.505,0,0,1,2035.001
HD 20630_1,HD 20630,0.648,0.142,1.547,4.726,9.276,0.98,0.857,0.074,155.253,0.688,0.374,1,1,1,2035.001
HD 20630_5,HD 20630,1.387,0.083,0.621,0.63,9.276,0.98,0.857,0.131,219.992,1.275,0.18,0,0,1,2035.001
HD 115617_0,HD 115617,1.956,0.004,0.732,1.017,8.534,0.97,0.825,0.229,198.267,1.963,0.282,0,0,1,2035.001
HD 115617_1,HD 115617,0.76,0.09,2.931,6.157,8.534,0.97,0.825,0.021,80.075,0.714,0.97,0,0,1,2035.001
HD 115617_2,HD 115617,0.621,0.047,0.562,0.059,8.534,0.97,0.825,0.072,58.425,0.648,0.489,1,1,1,2035.001
HD 115617_3,HD 115617,0.199,0.073,3.38,12.207,8.534,0.97,0.825,0.023,32.265,0.206,0.476,0,0,1,2035.001
HD 115617_4,HD 115617,2.599,0.104,0.763,0.174,8.534,0.97,0.825,0.3,112.382,2.769,0.534,0,0,1,2035.001
HD 115617_5,HD 115617,2.098,0.045,1.487,3.177,8.534,0.97,0.825,0.178,288.541,2.028,0.723,1,1,1,2035.001
HD 115617_6,HD 115617,3.003,0.084,0.942,0.936,8.534,0.97,0.825,0.173,166.217,3.052,0.013,0,0,1,2035.001
HD 20807_0,HD 20807,0.337,0.072,1.793,3.234,12.039,1.07,1.017,0.023,61.248,0.313,0.571,0,0,1,2035.001
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.083,112.675,1.646,0.821,1,1,1,2035.001
HD 20807_2,HD 20807,2.979,0.055,2.038,8.298,12.039,1.07,1.017,0.2,95.441,2.996,0.079,0,0,1,2035.001
HD 10476_0,HD 10476,0.171,0.07,0.738,0.088,7.644,0.85,0.454,0.017,324.356,0.16,0.077,0,0,1,2035.001
HD 202560_0,HD 202560,0.846,0.075,1.59,2.013,3.97,0.59,0.083,0.196,238.609,0.855,0.553,1,1,1,2035.001
HD 202560_1,HD 202560,0.552,0.052,0.674,0.125,3.97,0.59,0.083,0.139,272.269,0.554,0.29,1,1,1,2035.001
HD 202560_3,HD 202560,0.867,0.117,1.589,3.604,3.97,0.59,0.083,0.23,251.214,0.915,0.363,1,1,1,2035.001
HD 202560_4,HD 202560,2.302,0.14,0.558,0.251,3.97,0.59,0.083,0.514,248.578,2.306,0.121,0,0,1,2035.001
HD 202560_5,HD 202560,3.244,0.082,0.847,0.372,3.97,0.59,0.083,0.696,204.539,3.451,0.078,0,0,1,2035.001
HD 202560_6,HD 202560,0.414,0.085,0.785,0.225,3.97,0.59,0.083,0.098,300.363,0.398,0.429,1,1,1,2035.001
HD 209100_0,HD 209100,2.433,0.127,0.524,0.078,3.638,0.72,0.222,0.317,179.184,2.197,0.868,0,0,1,2035.001
HD 209100_1,HD 209100,1.218,0.094,0.54,0.224,3.638,0.72,0.222,0.227,289.252,1.152,0.747,1,1,1,2035.001
HD 209100_2,HD 209100,0.989,0.073,1.925,7.679,3.638,0.72,0.222,0.28,145.209,1.053,0.203,1,1,1,2035.001
HD 209100_4,HD 209100,3.542,0.022,2.632,11.464,3.638,0.72,0.222,0.925,52.629,3.502,0.47,1,1,1,2035.001
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.152,334.456,0.681,0.667,1,1,1,2035.001
HD 209100_6,HD 209100,1.701,0.082,0.885,1.719,3.638,0.72,0.222,0.315,62.965,1.755,0.036,0,0,1,2035.001
HD 209100_8,HD 209100,2.097,0.099,2.488,10.973,3.638,0.72,0.222,0.453,46.484,1.891,0.602,1,1,1,2035.001
HD 209100_9,HD 209100,0.782,0.071,2.297,6.298,3.638,0.72,0.222,0.209,103.844,0.832,0.549,1,1,1,2035.001
HD 209100_10,HD 209100,0.182,0.056,2.026,7.17,3.638,0.72,0.222,0.049,257.138,0.187,0.196,0,0,1,2035.001
HD 209100_11,HD 209100,0.917,0.107,1.174,2.417,3.638,0.72,0.222,0.194,18.039,0.934,0.061,0,0,1,2035.001
HD 65907 A_0,HD 65907 A,0.584,0.099,0.585,0.122,16.172,1.11,1.29,0.036,257.281,0.592,0.262,0,0,1,2035.001
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.032,207.248,1.414,0.006,0,0,1,2035.001
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.057,358.1,0.966,0.472,0,0,1,2035.001
HD 185144_1,HD 185144,0.747,0.07,0.5,0.019,5.764,0.87,0.434,0.117,287.658,0.695,0.208,0,0,1,2035.001
HD 185144_3,HD 185144,0.688,0.135,2.317,4.389,5.764,0.87,0.434,0.072,50.183,0.595,0.046,1,1,1,2035.001
HD 26965 A_1,HD 26965 A,0.482,0.058,1.38,2.403,5.01,0.86,0.41,0.078,138.783,0.489,0.075,1,1,1,2035.001
HD 26965 A_2,HD 26965 A,0.345,0.049,0.5,0.06,5.01,0.86,0.41,0.061,141.865,0.33,0.535,1,1,1,2035.001
HD 39091_1,HD 39091,3.12,0.028,1.191,1.952,18.287,1.08,1.533,0.144,177.535,3.183,0.088,0,0,1,2035.001
